Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,13,3,.813,386,260,126,7.9,-2.3,5.6,2.0,3.5
New York Giants,6,10,.375,303,347,-44,-2.8,-1.2,-3.9,-2.3,-1.6
Dallas Cowboys,6,10,.375,293,405,-112,-7.0,-0.8,-7.8,-3.0,-4.8
Washington Redskins,6,10,.375,240,265,-25,-1.6,-1.8,-3.4,-7.4,4.0
Green Bay Packers*,10,6,.625,424,380,44,2.8,-2.4,0.3,4.3,-4.0
Minnesota Vikings+,8,8,.500,405,395,10,0.6,-2.3,-1.7,3.0,-4.7
Detroit Lions,6,10,.375,296,350,-54,-3.4,-1.8,-5.2,-3.8,-1.4
Chicago Bears,5,11,.313,231,331,-100,-6.3,-2.0,-8.2,-8.5,0.3
Atlanta Falcons*,11,5,.688,340,337,3,0.2,-2.4,-2.2,-1.8,-0.4
New Orleans Saints,8,8,.500,348,405,-57,-3.6,-2.0,-5.6,-1.2,-4.3
Carolina Panthers,7,9,.438,355,339,16,1.0,-1.7,-0.7,-0.8,0.1
Tampa Bay Buccaneers,5,11,.313,301,304,-3,-0.2,-2.5,-2.7,-4.0,1.3
Seattle Seahawks*,9,7,.563,371,373,-2,-0.1,-2.8,-2.9,0.4,-3.3
St. Louis Rams+,8,8,.500,319,392,-73,-4.6,-1.4,-6.0,-2.2,-3.8
Arizona Cardinals,6,10,.375,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2
San Francisco 49ers,2,14,.125,259,452,-193,-12.1,-1.6,-13.6,-5.1,-8.6
