Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Washington Redskins*,10,6,0,.625,436,388,48,3.0,0.4,3.4,4.6,-1.2
New York Giants,9,7,0,.563,429,344,85,5.3,0.9,6.2,4.0,2.2
Dallas Cowboys,8,8,0,.500,376,400,-24,-1.5,1.8,0.3,1.4,-1.2
Philadelphia Eagles,4,12,0,.250,280,444,-164,-10.3,1.4,-8.9,-5.3,-3.6
Green Bay Packers*,11,5,0,.688,433,336,97,6.1,1.2,7.3,4.9,2.4
Minnesota Vikings+,10,6,0,.625,379,348,31,1.9,1.4,3.4,1.6,1.8
Chicago Bears,10,6,0,.625,375,277,98,6.1,0.8,6.9,1.0,6.0
Detroit Lions,4,12,0,.250,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4
Atlanta Falcons*,13,3,0,.813,419,299,120,7.5,-1.1,6.4,2.0,4.5
Carolina Panthers,7,9,0,.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3
New Orleans Saints,7,9,0,.438,461,454,7,0.4,1.0,1.4,6.5,-5.1
Tampa Bay Buccaneers,7,9,0,.438,389,394,-5,-0.3,0.3,0.0,1.3,-1.3
San Francisco 49ers*,11,4,1,.719,397,273,124,7.8,2.5,10.2,3.5,6.7
Seattle Seahawks+,11,5,0,.688,412,245,167,10.4,1.8,12.2,4.5,7.7
St. Louis Rams,7,8,1,.469,299,348,-49,-3.1,3.4,0.4,-2.1,2.4
Arizona Cardinals,5,11,0,.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6
