Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,0,.750,420,225,195,12.2,-1.8,10.4,2.8,7.6
Buffalo Bills+,10,6,0,.625,314,259,55,3.4,-1.3,2.2,-3.5,5.7
New York Jets,7,9,0,.438,276,359,-83,-5.2,-1.1,-6.3,-5.7,-0.6
Miami Dolphins,5,11,0,.313,306,494,-188,-11.8,0.2,-11.6,-2.4,-9.1
Baltimore Ravens*,14,2,0,.875,531,282,249,15.6,0.1,15.6,11.0,4.7
Pittsburgh Steelers,8,8,0,.500,289,303,-14,-0.9,1.2,0.3,-4.3,4.6
Cleveland Browns,6,10,0,.375,335,393,-58,-3.6,1.7,-1.9,-0.4,-1.5
Cincinnati Bengals,2,14,0,.125,279,420,-141,-8.8,1.5,-7.3,-4.4,-2.9
Houston Texans*,10,6,0,.625,378,385,-7,-0.4,1.0,0.5,1.0,-0.5
Tennessee Titans+,9,7,0,.563,402,331,71,4.4,-1.0,3.4,1.8,1.7
Indianapolis Colts,7,9,0,.438,361,373,-12,-0.8,-1.1,-1.8,-1.0,-0.8
Jacksonville Jaguars,6,10,0,.375,300,397,-97,-6.1,-0.6,-6.7,-4.6,-2.1
Kansas City Chiefs*,12,4,0,.750,451,308,143,8.9,0.2,9.1,6.2,2.9
Denver Broncos,7,9,0,.438,282,316,-34,-2.1,0.0,-2.1,-4.8,2.7
Oakland Raiders,7,9,0,.438,313,419,-106,-6.6,-0.3,-6.9,-2.5,-4.4
Los Angeles Chargers,5,11,0,.313,337,345,-8,-0.5,-0.8,-1.3,-1.6,0.3
