Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,9,7,0,.563,385,354,31,1.9,-1.7,0.3,0.7,-0.4
Dallas Cowboys,8,8,0,.500,434,321,113,7.1,-1.8,5.3,3.8,1.5
New York Giants,4,12,0,.250,341,451,-110,-6.9,-1.0,-7.9,-1.8,-6.1
Washington Redskins,3,13,0,.188,266,435,-169,-10.6,-0.2,-10.8,-6.3,-4.5
Green Bay Packers*,13,3,0,.813,376,313,63,3.9,-0.7,3.2,0.6,2.6
Minnesota Vikings+,10,6,0,.625,407,303,104,6.5,-1.1,5.4,2.5,2.9
Chicago Bears,8,8,0,.500,280,298,-18,-1.1,0.2,-0.9,-5.4,4.5
Detroit Lions,3,12,1,.219,341,423,-82,-5.1,-0.1,-5.2,-1.2,-4.0
New Orleans Saints*,13,3,0,.813,458,341,117,7.3,0.0,7.4,5.0,2.3
Atlanta Falcons,7,9,0,.438,381,399,-18,-1.1,1.1,-0.1,0.3,-0.4
Tampa Bay Buccaneers,7,9,0,.438,458,449,9,0.6,-0.2,0.4,4.9,-4.5
Carolina Panthers,5,11,0,.313,340,470,-130,-8.1,1.1,-7.0,-1.9,-5.1
San Francisco 49ers*,13,3,0,.813,479,310,169,10.6,0.4,11.0,6.7,4.3
Seattle Seahawks+,11,5,0,.688,405,398,7,0.4,2.3,2.7,2.9,-0.2
Los Angeles Rams,9,7,0,.563,394,364,30,1.9,2.0,3.9,2.2,1.7
Arizona Cardinals,5,10,1,.344,361,442,-81,-5.1,1.8,-3.2,-0.3,-2.9
