Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,11,5,.688,361,250,111,6.9,0.2,7.1,0.4,6.7
Philadelphia Eagles+,11,5,.688,429,337,92,5.8,0.2,6.0,5.8,0.2
New York Giants,8,8,.500,402,427,-25,-1.6,1.6,0.1,4.6,-4.5
Washington Redskins,4,12,.250,266,336,-70,-4.4,-0.2,-4.6,-5.5,1.0
Minnesota Vikings*,12,4,.750,470,312,158,9.9,-2.7,7.2,6.6,0.6
Green Bay Packers+,11,5,.688,461,297,164,10.3,-2.9,7.4,6.3,1.1
Chicago Bears,7,9,.438,327,375,-48,-3.0,-0.9,-3.9,-1.9,-2.0
Detroit Lions,2,14,.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2
New Orleans Saints*,13,3,.813,510,341,169,10.6,0.2,10.8,11.2,-0.5
Atlanta Falcons,9,7,.563,363,325,38,2.4,2.7,5.0,2.7,2.3
Carolina Panthers,8,8,.500,315,308,7,0.4,3.5,3.9,-0.6,4.5
Tampa Bay Buccaneers,3,13,.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1
Arizona Cardinals*,10,6,.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4
San Francisco 49ers,8,8,.500,330,281,49,3.1,-3.0,0.1,-2.9,3.0
Seattle Seahawks,5,11,.313,280,390,-110,-6.9,-2.4,-9.3,-5.0,-4.4
St. Louis Rams,1,15,.063,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8
