Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,10,6,.625,427,285,142,8.9,2.3,11.2,6.7,4.5
New York Jets+,9,7,.563,348,236,112,7.0,1.6,8.6,1.1,7.5
Miami Dolphins,7,9,.438,360,390,-30,-1.9,3.6,1.7,2.9,-1.2
Buffalo Bills,6,10,.375,258,326,-68,-4.3,2.4,-1.8,-4.5,2.7
Cincinnati Bengals*,10,6,.625,305,291,14,0.9,-0.2,0.7,-2.5,3.2
Baltimore Ravens+,9,7,.563,391,261,130,8.1,-0.7,7.5,2.6,4.9
Pittsburgh Steelers,9,7,.563,368,324,44,2.8,-1.1,1.7,1.0,0.7
Cleveland Browns,5,11,.313,245,375,-130,-8.1,-0.3,-8.4,-6.0,-2.4
Indianapolis Colts*,14,2,.875,416,307,109,6.8,-0.9,5.9,4.4,1.5
Houston Texans,9,7,.563,388,333,55,3.4,-1.5,2.0,2.7,-0.7
Tennessee Titans,8,8,.500,354,402,-48,-3.0,0.2,-2.8,0.9,-3.6
Jacksonville Jaguars,7,9,.438,290,380,-90,-5.6,-0.9,-6.5,-3.8,-2.6
San Diego Chargers*,13,3,.813,454,320,134,8.4,-1.7,6.6,6.4,0.2
Denver Broncos,8,8,.500,326,324,2,0.1,0.2,0.3,-1.0,1.3
Oakland Raiders,5,11,.313,197,379,-182,-11.4,1.1,-10.3,-8.7,-1.6
Kansas City Chiefs,4,12,.250,294,424,-130,-8.1,-0.3,-8.4,-2.5,-5.9
