Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New York Giants*,9,7,.563,394,400,-6,-0.4,2.0,1.6,3.1,-1.5
Philadelphia Eagles,8,8,.500,396,328,68,4.3,0.5,4.7,3.1,1.7
Dallas Cowboys,8,8,.500,369,347,22,1.4,0.3,1.6,0.7,0.9
Washington Redskins,5,11,.313,288,367,-79,-4.9,0.8,-4.1,-4.3,0.2
Green Bay Packers*,15,1,.938,560,359,201,12.6,-1.2,11.4,11.5,-0.1
Detroit Lions+,10,6,.625,474,387,87,5.4,0.6,6.1,6.9,-0.8
Chicago Bears,8,8,.500,353,341,12,0.8,0.9,1.7,-1.5,3.1
Minnesota Vikings,3,13,.188,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1
New Orleans Saints*,13,3,.813,547,339,208,13.0,-1.6,11.4,10.6,0.8
Atlanta Falcons+,10,6,.625,402,350,52,3.3,0.3,3.5,1.8,1.7
Carolina Panthers,6,10,.375,406,429,-23,-1.4,0.1,-1.3,2.6,-3.9
Tampa Bay Buccaneers,4,12,.250,287,494,-207,-12.9,2.3,-10.6,-4.0,-6.6
San Francisco 49ers*,13,3,.813,380,229,151,9.4,-1.1,8.3,1.7,6.6
Arizona Cardinals,8,8,.500,312,348,-36,-2.3,0.0,-2.2,-1.7,-0.5
Seattle Seahawks,7,9,.438,321,315,6,0.4,0.4,0.8,-0.5,1.3
St. Louis Rams,2,14,.125,193,407,-214,-13.4,2.9,-10.4,-8.4,-2.1
