Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,13,3,.813,458,296,162,10.1,-1.2,8.9,6.3,2.6
Buffalo Bills+,9,7,.563,302,359,-57,-3.6,-0.5,-4.0,-3.0,-1.0
Miami Dolphins,6,10,.375,281,393,-112,-7.0,0.7,-6.3,-3.9,-2.4
New York Jets,5,11,.313,298,382,-84,-5.3,0.3,-4.9,-2.9,-2.1
Pittsburgh Steelers*,13,3,.813,406,308,98,6.1,-1.1,5.0,3.2,1.8
Baltimore Ravens,9,7,.563,395,303,92,5.8,-2.4,3.4,2.2,1.2
Cincinnati Bengals,7,9,.438,290,349,-59,-3.7,-1.3,-5.0,-4.1,-0.9
Cleveland Browns,0,16,.000,234,410,-176,-11.0,0.0,-11.0,-6.8,-4.1
Jacksonville Jaguars*,10,6,.625,417,268,149,9.3,-2.8,6.5,3.0,3.6
Tennessee Titans+,9,7,.563,334,356,-22,-1.4,-2.1,-3.5,-2.0,-1.5
Indianapolis Colts,4,12,.250,263,404,-141,-8.8,-1.3,-10.1,-6.1,-4.0
Houston Texans,4,12,.250,338,436,-98,-6.1,-0.3,-6.4,-0.8,-5.6
Kansas City Chiefs*,10,6,.625,415,339,76,4.8,-1.3,3.4,3.8,-0.3
Los Angeles Chargers,9,7,.563,355,272,83,5.2,-1.5,3.6,-0.3,4.0
Oakland Raiders,6,10,.375,301,373,-72,-4.5,-0.2,-4.7,-3.0,-1.8
Denver Broncos,5,11,.313,289,382,-93,-5.8,-0.9,-6.7,-3.9,-2.9
