Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,13,3,.813,457,295,162,10.1,-0.7,9.4,7.0,2.5
Dallas Cowboys,9,7,.563,354,332,22,1.4,0.2,1.6,0.4,1.2
Washington Redskins,7,9,.438,342,388,-46,-2.9,1.6,-1.3,0.5,-1.8
New York Giants,3,13,.188,246,388,-142,-8.9,1.3,-7.6,-6.4,-1.2
Minnesota Vikings*,13,3,.813,382,252,130,8.1,1.0,9.1,2.3,6.8
Detroit Lions,9,7,.563,410,376,34,2.1,0.6,2.7,5.2,-2.5
Green Bay Packers,7,9,.438,320,384,-64,-4.0,2.1,-1.9,-0.3,-1.6
Chicago Bears,5,11,.313,264,320,-56,-3.5,2.2,-1.3,-4.6,3.3
New Orleans Saints*,11,5,.688,448,326,122,7.6,1.5,9.2,7.0,2.2
Carolina Panthers+,11,5,.688,363,327,36,2.3,2.1,4.3,1.7,2.7
Atlanta Falcons+,10,6,.625,353,315,38,2.4,1.9,4.3,1.1,3.2
Tampa Bay Buccaneers,5,11,.313,335,382,-47,-2.9,1.7,-1.3,0.4,-1.7
Los Angeles Rams*,11,5,.688,478,329,149,9.3,-0.2,9.2,8.2,1.0
Seattle Seahawks,9,7,.563,366,332,34,2.1,-0.2,1.9,0.7,1.2
Arizona Cardinals,8,8,.500,295,361,-66,-4.1,0.4,-3.7,-4.0,0.2
San Francisco 49ers,6,10,.375,331,383,-52,-3.3,0.4,-2.9,-0.8,-2.1
