,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,16,223,3795,974,3.9,29,9,240,301,533,2511,12,20,4.3,149,390,1284,7,3.3,73,91,801,18,22.9,14.4,308.95
2,Tennessee Titans,16,234,4698,1022,4.6,31,11,276,342,575,3196,12,20,5.2,166,403,1502,12,3.7,81,93,750,29,23.2,15.5,198.04
3,Baltimore Ravens,16,244,4177,928,4.5,34,8,228,276,528,2875,17,26,5.1,152,366,1302,4,3.6,58,114,792,18,21.5,17.4,339.23
4,Philadelphia Eagles,16,289,4389,994,4.4,29,14,248,284,525,2913,19,15,5.1,144,421,1476,7,3.5,79,81,598,25,25.3,13.6,297.87
5,New York Giants,16,294,4672,931,5.0,22,5,268,296,503,3139,17,17,5.8,165,386,1533,14,4.0,78,111,866,25,28.9,12.1,125.97
6,Washington Redskins,16,296,4621,933,5.0,18,5,259,290,511,3095,16,13,5.8,159,398,1526,12,3.8,86,80,639,14,29.5,10.2,118.99
7,Indianapolis Colts,16,298,4975,983,5.1,26,11,305,329,481,3009,6,15,5.9,165,472,1966,18,4.2,119,68,543,21,37.3,17.0,67.66
8,New England Patriots,16,309,4944,920,5.4,22,8,268,288,474,3222,27,14,6.4,176,415,1722,8,4.1,78,81,636,14,30.6,12.9,56.69
9,Miami Dolphins,16,317,5264,979,5.4,30,12,296,320,551,3644,18,18,6.2,173,388,1620,11,4.2,96,86,615,27,35.2,16.4,69.30
10,Tampa Bay Buccaneers,16,323,4898,945,5.2,30,8,259,276,475,2997,23,22,5.9,153,441,1901,8,4.3,87,88,660,19,30.7,14.6,156.00
11,Atlanta Falcons,16,325,5566,998,5.6,18,8,309,325,549,3526,20,10,6.0,189,415,2040,17,4.9,108,109,854,12,32.0,9.0,48.89
