Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Miami Dolphins*,11,5,0,.688,345,317,28,1.8,-2.3,-0.5,-2.4,1.8
New England Patriots,11,5,0,.688,410,309,101,6.3,-2.4,3.9,2.3,1.6
New York Jets,9,7,0,.563,405,356,49,3.1,-2.8,0.2,2.2,-1.9
Buffalo Bills,7,9,0,.438,336,342,-6,-0.4,-3.0,-3.3,-2.8,-0.6
Pittsburgh Steelers*,12,4,0,.750,347,223,124,7.8,2.0,9.8,1.6,8.2
Baltimore Ravens+,11,5,0,.688,385,244,141,8.8,1.0,9.8,4.2,5.6
Cincinnati Bengals,4,11,1,.281,204,364,-160,-10.0,3.0,-7.0,-6.9,-0.1
Cleveland Browns,4,12,0,.250,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6
Tennessee Titans*,13,3,0,.813,375,234,141,8.8,0.1,8.9,1.5,7.5
Indianapolis Colts+,12,4,0,.750,377,298,79,4.9,1.6,6.5,2.6,3.9
Houston Texans,8,8,0,.500,366,394,-28,-1.8,1.4,-0.4,2.8,-3.2
Jacksonville Jaguars,5,11,0,.313,302,367,-65,-4.1,1.6,-2.5,-2.1,-0.4
San Diego Chargers*,8,8,0,.500,439,347,92,5.8,-0.8,5.0,5.0,0.0
Denver Broncos,8,8,0,.500,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5
Oakland Raiders,5,11,0,.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1.0
Kansas City Chiefs,2,14,0,.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3
