Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,.750,385,237,148,9.3,1.0,10.2,4.3,5.9
New York Jets+,10,6,.625,316,295,21,1.3,0.7,2.0,0.4,1.7
Buffalo Bills,7,9,.438,300,311,-11,-0.7,2.9,2.2,-0.2,2.4
Miami Dolphins,6,10,.375,260,283,-23,-1.4,2.1,0.7,-3.3,4.0
Baltimore Ravens*,13,3,.813,353,201,152,9.5,-0.2,9.3,1.5,7.8
Cincinnati Bengals,8,8,.500,373,331,42,2.6,1.5,4.1,4.0,0.0
Pittsburgh Steelers,8,8,.500,353,315,38,2.4,1.0,3.4,3.0,0.4
Cleveland Browns,4,12,.250,238,356,-118,-7.4,1.5,-5.8,-4.5,-1.3
Indianapolis Colts*,12,4,.750,427,360,67,4.2,1.7,5.9,6.9,-1.1
Tennessee Titans,8,8,.500,324,400,-76,-4.8,3.5,-1.3,1.0,-2.3
Jacksonville Jaguars,8,8,.500,371,274,97,6.1,1.4,7.5,2.6,4.9
Houston Texans,6,10,.375,267,366,-99,-6.2,1.7,-4.5,-3.2,-1.3
San Diego Chargers*,14,2,.875,492,303,189,11.8,-1.6,10.2,10.0,0.2
Kansas City Chiefs+,9,7,.563,331,315,16,1.0,0.0,1.0,0.4,0.6
Denver Broncos,9,7,.563,319,305,14,0.9,0.4,1.3,-0.8,2.1
Oakland Raiders,2,14,.125,168,332,-164,-10.3,0.6,-9.6,-10.3,0.7
