Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,10,6,.625,398,328,70,4.4,-1.0,3.4,3.2,0.2
Dallas Cowboys+,9,7,.563,425,350,75,4.7,-1.0,3.7,5.0,-1.3
New York Giants+,8,8,.500,355,362,-7,-0.4,0.5,0.1,1.2,-1.1
Washington Redskins,5,11,.313,307,376,-69,-4.3,0.3,-4.0,-2.1,-2.0
Chicago Bears*,13,3,.813,427,255,172,10.8,-2.9,7.9,4.9,3.0
Green Bay Packers,8,8,.500,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1
Minnesota Vikings,6,10,.375,282,327,-45,-2.8,-1.3,-4.1,-3.7,-0.4
Detroit Lions,3,13,.188,305,398,-93,-5.8,-0.5,-6.4,-1.8,-4.6
New Orleans Saints*,10,6,.625,413,322,91,5.7,-1.6,4.0,4.9,-0.9
Carolina Panthers,8,8,.500,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5
Atlanta Falcons,7,9,.438,292,328,-36,-2.3,-0.8,-3.0,-2.8,-0.2
Tampa Bay Buccaneers,4,12,.250,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8
Seattle Seahawks*,9,7,.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9
St. Louis Rams,8,8,.500,367,381,-14,-0.9,-3.1,-4.0,0.8,-4.7
San Francisco 49ers,7,9,.438,298,412,-114,-7.1,-1.6,-8.7,-3.5,-5.2
Arizona Cardinals,5,11,.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3
