Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,12,4,.750,374,287,87,5.4,-1.0,4.4,2.9,1.5
Dallas Cowboys+,10,6,.625,289,260,29,1.8,-2.3,-0.5,-3.2,2.7
Washington Redskins,5,11,.313,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8
New York Giants,4,12,.250,243,387,-144,-9.0,0.4,-8.6,-4.8,-3.7
Green Bay Packers*,10,6,.625,442,307,135,8.4,-0.3,8.1,6.2,1.9
Minnesota Vikings,9,7,.563,416,353,63,3.9,-1.0,2.9,4.0,-1.1
Chicago Bears,7,9,.438,283,346,-63,-3.9,0.4,-3.5,-4.2,0.7
Detroit Lions,5,11,.313,270,379,-109,-6.8,1.0,-5.8,-4.3,-1.6
Carolina Panthers*,11,5,.688,325,304,21,1.3,-2.2,-0.9,-1.5,0.6
New Orleans Saints,8,8,.500,340,326,14,0.9,-1.1,-0.3,0.1,-0.4
Tampa Bay Buccaneers,7,9,.438,301,264,37,2.3,-0.7,1.6,-2.9,4.5
Atlanta Falcons,5,11,.313,299,422,-123,-7.7,0.3,-7.4,-2.0,-5.4
St. Louis Rams*,12,4,.750,447,328,119,7.4,-1.6,5.9,6.0,-0.2
Seattle Seahawks+,10,6,.625,404,327,77,4.8,-0.7,4.1,3.6,0.5
San Francisco 49ers,7,9,.438,384,337,47,2.9,0.1,3.1,3.0,0.1
Arizona Cardinals,4,12,.250,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2
