Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,12,4,0,.750,415,241,174,10.9,-2.6,8.3,4.5,3.8
New York Giants+,10,6,0,.625,320,279,41,2.6,-1.7,0.8,-2.2,3.0
Washington Redskins,7,9,0,.438,307,365,-58,-3.6,-0.8,-4.5,-2.2,-2.2
Dallas Cowboys,5,11,0,.313,217,329,-112,-7.0,-1.5,-8.5,-8.2,-0.3
Green Bay Packers*,12,4,0,.750,398,328,70,4.4,-0.8,3.6,2.4,1.2
Minnesota Vikings,6,10,0,.375,390,442,-52,-3.3,0.2,-3.0,3.1,-6.1
Chicago Bears,4,12,0,.250,281,379,-98,-6.1,0.9,-5.3,-4.4,-0.9
Detroit Lions,3,13,0,.188,306,451,-145,-9.1,-0.1,-9.2,-2.5,-6.7
Tampa Bay Buccaneers*,12,4,0,.750,346,196,150,9.4,-0.6,8.8,-1.0,9.8
Atlanta Falcons+,9,6,1,.594,402,314,88,5.5,-0.4,5.1,3.5,1.5
New Orleans Saints,9,7,0,.563,432,388,44,2.8,-0.3,2.4,5.8,-3.3
Carolina Panthers,7,9,0,.438,258,302,-44,-2.8,-0.5,-3.3,-6.0,2.8
San Francisco 49ers*,10,6,0,.625,367,351,16,1.0,-0.4,0.6,0.7,-0.1
St. Louis Rams,7,9,0,.438,316,369,-53,-3.3,0.0,-3.3,-1.6,-1.8
Seattle Seahawks,7,9,0,.438,355,369,-14,-0.9,-0.4,-1.3,0.0,-1.2
Arizona Cardinals,5,11,0,.313,262,417,-155,-9.7,-0.2,-9.9,-5.4,-4.5
